1/19/26,Purchase Price,Live Date,Website,Niche,Jan 2022,Feb 2022,Mar 2022,Apr 2022,May 2022,Jun 2022,Jul 2022,Aug 2022,Sep 2022,Oct 2022,Nov 2022,Dec 2022,Jan 2023,Feb 2023,Mar 2023,Apr 2023,May 2023,Jun 2023,Jul 2023,Aug 2023,Sep 2023,Oct 2023,Nov 2023,Dec 2023,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026,Apr 2026,May 2026,Jun 2026,Jul 2026,Aug 2026,Sep 2026,Oct 2026,Nov 2026,Dec 2026,Total,Count
Expired - Vaibhav,$12.00,3/2/2023,springhillmedgroup.com,Health,-,-,-,-,-,-,-,-,-,-,-,-,-,$369.00,$261.00,$180.00,$10.00,$210.00,$907.25,$620.00,$983.00,"$1,285.50","$2,343.00","$5,647.00","$3,776.50","$6,467.50","$5,915.50","$6,633.00","$3,744.50","$4,280.00","$2,979.50","$2,747.75","$1,786.00","$2,085.25",$959.00,"$1,298.50","$2,683.25","$2,203.25","$2,380.25","$3,105.66","$3,905.25","$2,967.25","$2,792.75","$2,200.50","$2,933.50","$3,872.50","$5,144.00","$4,877.00","$1,726.25",,,,,,,,,,,,"$96,280.16",36
Expired - Odys,$720.00,Jan 2022 or earlier,justalittlebite.com,Food,$65.00,$45.00,$130.00,$447.00,$551.00,$890.00,"$1,355.00","$1,590.00","$1,890.00","$1,700.00","$2,772.50","$2,164.50","$2,551.50","$2,265.00","$2,149.00","$3,514.50","$3,512.00","$3,161.00","$2,393.00","$3,407.60","$4,173.40","$3,538.00","$4,288.50","$3,789.60","$3,404.50","$3,201.00","$3,510.00","$2,643.50","$2,300.40","$2,110.00","$2,971.50","$1,548.00","$1,223.00","$1,057.00",$778.50,$877.00,"$2,386.50","$1,434.00","$1,143.00",$326.00,$475.00,$310.00,$175.00,$290.00,$115.25,$359.00,$887.50,$270.00,$45.00,,,,,,,,,,,,"$86,183.75",49
Bought - Darko,"$6,500.00",9/4/2023,myinteriorpalace.com,Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"$3,540.00","$4,276.00","$8,290.04","$5,545.00","$7,547.50","$7,227.00","$4,936.50","$3,931.00","$2,143.50","$1,220.00","$1,593.50",$805.00,$605.00,"$1,123.67",$792.00,"$1,349.50","$1,760.00","$3,687.00","$2,597.00","$3,082.00","$3,987.00","$2,831.00","$2,751.00","$1,736.00","$3,947.50","$2,294.79","$1,163.00","$1,225.00",$857.00,,,,,,,,,,,,"$86,843.50",29
Bought - Vaibhav,"$2,000.00",Jan 2022 or earlier,avstarnews.com,"General, Celebrity",$395.00,$197.50,$467.50,$465.00,$320.00,$977.00,$337.00,$778.00,$335.00,$530.00,$845.00,$525.00,$775.00,$755.00,$812.00,$389.00,$274.00,$145.00,$190.00,$0.00,$477.80,$108.00,$30.00,$105.00,$224.00,$133.00,$106.50,$366.50,"$1,180.00","$2,578.91","$4,753.88","$4,536.50","$5,690.00","$6,212.70","$4,505.06","$6,443.32","$4,944.62","$5,140.25","$4,153.00","$4,923.00","$4,376.00","$3,666.25","$3,096.00","$1,655.00","$1,360.25","$1,289.00","$1,481.50",$768.00,$794.00,,,,,,,,,,,,"$84,610.04",49
Expired - Vaibhav,$12.00,May 2022 or earlier,activepropertycare.com,Home,-,-,-,-,$95.00,$25.00,$210.00,$195.00,$215.00,$195.00,$70.00,$213.00,$90.00,$85.00,$248.00,$130.00,$330.00,$275.00,$285.00,$290.00,$765.70,$0.00,$175.00,$140.00,$407.00,$280.00,$322.00,"$1,286.19","$3,375.17","$3,559.84","$6,614.93","$6,166.70","$4,855.50","$2,611.60","$1,845.50","$3,072.06","$4,109.00","$4,420.50","$5,657.50","$4,844.00","$4,228.00","$4,940.53","$3,407.50","$2,454.00","$3,895.00","$2,859.50","$4,645.50","$7,239.00","$2,317.50",,,,,,,,,,,,"$93,445.72",45
Expired - Vaibhav,$12.00,May 2022 or earlier,kdarchitects.net,Home,-,-,-,-,$45.00,$115.00,$200.00,$190.00,$315.00,$200.00,$471.25,$205.00,$50.00,$75.00,"$1,042.00",$341.25,$107.00,$105.00,$132.00,$225.00,$193.70,$397.50,"$1,299.50","$3,144.00","$4,277.00","$4,965.00","$3,365.50","$2,990.50","$2,436.70","$2,902.00","$2,143.00","$1,312.00",$455.00,$401.00,$837.00,"$1,725.50","$5,741.50","$4,723.59","$3,627.00","$5,262.00","$5,003.88","$4,336.56","$4,302.00","$2,854.50","$2,600.00","$4,307.00","$3,295.00","$6,038.00","$1,214.00",,,,,,,,,,,,"$89,968.43",45
Expired - Odys,$570.00,May 2022 or earlier,zero1magazine.com,"Gaming, Tech",-,-,-,-,$170.00,"$1,235.00",$533.00,$722.00,$890.42,$595.50,$526.50,"$1,520.09","$1,673.00","$1,587.57","$4,402.77","$4,644.00","$3,716.50","$3,957.00","$4,265.00","$5,216.40","$9,042.20","$5,925.31","$5,272.16","$3,803.88","$7,914.55","$6,352.50","$5,322.50",$270.00,$286.00,$20.00,$10.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$100.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,"$79,973.85",45
Expired - Odys,$380.00,April 2022 or earlier,onthisveryspot.com,"Gaming, Tech",-,-,-,$95.00,$275.00,$490.00,$373.00,$60.00,$560.00,"$1,823.34",$542.00,$675.00,$267.00,$698.00,"$1,670.00",$220.00,$580.00,$640.00,$281.00,$402.50,$428.80,$510.00,"$2,346.50","$1,619.00","$1,893.00","$2,246.00","$2,043.00","$3,523.00","$4,990.60","$3,815.50","$3,602.38","$2,032.00","$3,332.00","$3,644.00","$2,711.00","$2,083.00","$5,401.00","$3,076.00","$3,037.00","$3,549.00","$4,830.00","$2,691.00","$1,218.00",$958.00,"$1,765.50","$1,255.00","$2,506.00","$1,902.00",$414.00,,,,,,,,,,,,"$83,074.12",46
Expired - Odys,$750.00,Jan 2022 or earlier,lovelolablog.com,"General, Family",-,-,$130.00,$405.00,$935.00,"$1,015.00","$1,205.00","$2,582.00","$2,436.00","$2,048.50","$1,665.50","$1,110.00",$820.00,$600.00,"$1,987.50","$1,530.00",$930.00,$853.50,"$1,277.25","$1,967.20","$1,435.60","$1,138.00","$1,835.00","$2,715.50","$1,697.25","$1,521.00",$592.00,$696.00,$816.10,"$1,507.15","$1,396.50","$1,471.00","$1,215.00","$1,405.00","$1,786.50","$1,617.50","$2,894.00","$1,960.75","$2,537.50","$1,413.50","$2,491.00","$2,726.50","$3,587.00","$2,937.00","$2,920.75","$4,880.75","$4,658.75","$4,821.25","$2,208.00",,,,,,,,,,,,"$86,379.30",47
Expired - Vaibhav,$12.00,May 2022 or earlier,drhomey.com,Home,-,-,-,-,$45.00,$120.00,$160.00,$244.00,$350.00,$291.00,$100.00,$205.00,$555.00,$845.00,$510.00,$290.00,$157.50,"$1,442.00",$745.00,"$1,080.80","$1,299.70","$1,893.00","$2,648.00","$2,662.00","$3,317.00","$4,231.00","$3,104.00","$2,965.00","$2,938.70","$2,150.00","$1,709.38","$1,183.00","$1,177.00",$955.00,"$1,667.00","$1,505.00","$2,679.00","$2,855.50","$3,906.00","$3,501.00","$4,340.50","$3,255.00","$2,279.00","$1,812.00","$1,533.81","$1,684.00","$1,909.00","$2,868.00","$1,031.00",,,,,,,,,,,,"$76,198.89",45
Bought - Darko,"$5,500.00",10/4/2023,freelogopng.com,Logos,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$686.00,"$1,877.50","$2,654.00","$5,963.50","$3,029.50","$3,286.00","$2,471.00","$2,114.70","$3,143.50","$4,482.98","$2,670.00","$4,110.00","$2,393.50","$2,301.00","$2,869.00","$3,045.00","$5,204.18","$3,728.00","$1,199.50","$1,426.00",$797.00,"$2,127.00","$2,230.00","$1,764.00","$4,935.00",$735.00,"$1,710.00",$981.75,,,,,,,,,,,,"$73,934.61",28
Expired - Odys,$340.00,May 2022 or earlier,harmonicode.com,"Gaming, Tech",-,-,-,-,$180.00,$170.00,$100.00,$340.00,$945.00,"$1,093.00",$837.00,$722.50,$695.00,$24.50,$280.00,$190.00,$560.00,$95.00,$149.00,$391.00,$297.53,$207.00,$778.00,$768.00,$693.07,"$2,263.00","$2,670.00","$1,627.00","$2,985.50","$2,306.30","$4,679.00","$4,478.00","$5,197.00","$3,298.00","$2,673.50","$4,211.00","$5,595.00","$2,699.00","$4,022.00","$2,735.50","$1,771.50","$1,750.25","$2,766.50",$867.50,$727.00,$914.00,"$1,067.00","$1,405.00",$295.00,,,,,,,,,,,,"$72,519.15",45
Expired - Vaibhav,$12.00,May 2022 or earlier,craigscottcapital.com,"Finance, Business",-,-,-,-,$50.00,$45.00,$110.00,$100.00,$70.00,$0.00,$50.00,$115.00,$294.00,$353.00,$897.00,$280.00,$138.75,$590.00,$533.25,$609.80,$722.15,"$1,077.00",$933.50,"$1,994.00","$2,278.50","$2,702.75","$3,114.25","$1,743.50","$4,178.60","$4,703.25","$5,087.00","$3,379.28","$2,364.11",$743.64,$930.00,"$2,026.80","$3,024.00","$2,719.25","$3,078.50","$3,444.50","$2,793.75","$1,900.50","$2,005.59","$2,147.06","$2,374.50","$1,831.00","$2,894.50","$3,296.50","$1,291.50",,,,,,,,,,,,"$75,015.28",45
Expired - Odys,$420.00,April 2022 or earlier,simcookie.com,"Gaming, Tech",-,-,-,$75.00,$160.00,$295.00,$243.00,$420.00,$315.00,"$1,275.00","$1,686.00","$1,410.00","$1,010.00",$375.00,"$1,433.00","$2,092.63","$1,522.00","$2,082.00","$1,826.50","$2,386.20","$2,051.80","$1,477.00","$3,216.00","$4,855.00","$5,376.50","$2,378.50","$2,215.00",$910.50,$500.00,$253.80,$408.38,$600.00,$341.00,$342.50,$130.00,$301.50,$970.00,"$3,277.00","$1,914.00","$3,211.50","$3,621.00","$1,814.40","$3,389.00","$2,129.50","$1,029.00","$2,546.00","$2,038.00","$1,350.00","$1,275.00",,,,,,,,,,,,"$72,528.21",46
Expired - Vaibhav,$12.00,June 2022 or earlier,etherions.com,Crypto,-,-,-,-,-,$70.00,$140.00,$80.00,$155.00,$325.00,$0.00,$260.00,$315.00,$106.00,$121.00,$411.50,$0.00,$225.00,$310.25,$363.00,$434.45,$460.75,$258.50,"$1,017.00",$598.00,"$1,646.00",$994.50,"$2,817.00","$1,643.25","$1,866.00","$2,293.43","$3,964.27","$2,236.00","$2,180.50","$2,554.75","$2,205.70","$2,895.50","$2,946.50","$2,862.00","$3,468.92","$2,836.89","$4,587.12","$3,362.67","$4,329.00","$3,078.81","$4,103.20","$3,664.50","$3,431.50",$953.00,,,,,,,,,,,,"$72,571.46",44
Expired - Odys,$540.00,20/3/2024,gamificationsummit.com,"Gaming, Tech",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$420.00,"$2,145.00",$477.00,"$3,439.38","$2,577.31","$2,259.29","$2,437.50","$2,173.50","$2,273.50","$3,548.50","$3,250.65","$4,349.00","$4,113.93","$3,368.50","$3,699.02","$5,517.00","$5,179.00","$4,417.00","$7,490.00","$5,773.05","$6,630.50","$3,525.50",,,,,,,,,,,,"$79,064.13",22
Expired - Vaibhav,$12.00,19/4/2024,simplyseven.net,"Healthy Living, Self-Improvement",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$570.00,$840.00,"$1,701.00","$3,785.50","$5,519.50","$4,134.00","$3,156.60","$2,721.51","$4,208.50","$5,228.00","$4,077.00","$4,120.50","$3,572.50","$4,526.00","$3,484.00","$2,604.00","$4,275.50","$3,955.00","$4,105.00","$3,970.00","$2,818.00",,,,,,,,,,,,"$73,372.11",21
Expired - Vaibhav,$12.00,26/4/2024,entretech.org,"Business, Finance, Tech",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"$1,182.25","$2,495.00","$3,282.68","$2,448.30","$3,415.50","$2,798.00","$3,165.50","$5,543.80","$6,049.96","$3,860.00","$4,423.01","$5,376.00","$4,855.38","$2,785.18","$3,061.48","$1,847.75","$2,845.50","$3,474.25","$3,043.25","$4,616.50","$1,237.50",,,,,,,,,,,,"$71,806.79",21
Expired - Vaibhav,$12.00,4/5/2024,turbogeek.org,"Tech, Gaming, Turbo",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$481.00,"$1,167.00","$1,277.00","$1,899.00","$2,034.00","$2,442.50","$2,901.50","$1,572.00","$3,087.50","$3,083.00","$2,540.50","$4,420.00","$3,597.50","$3,936.50","$3,968.50","$3,767.00","$3,683.50","$6,343.00","$9,121.00","$5,882.50","$8,444.69","$1,939.00",,,,,,,,,,,,"$77,588.19",22
Expired - Vaibhav,$12.00,Jan 2022 or earlier,silicon-insider.com,"Gaming, Tech",$30.00,$140.00,$145.00,$250.00,$600.00,$750.00,"$1,310.00","$1,606.00","$1,860.00","$2,185.50",$725.00,$560.50,$300.00,$280.00,$500.00,$225.00,$180.00,$294.00,$280.00,$396.00,$139.60,$260.00,$275.00,$195.00,$384.00,$0.00,$156.00,"$1,099.00","$1,212.80","$1,892.50","$1,711.88",$787.00,"$1,124.00","$1,871.00","$3,048.50","$1,030.00","$3,518.00","$4,594.00","$3,541.85","$4,343.00","$5,250.50","$3,095.25","$2,055.50","$1,103.00","$1,805.00","$3,443.00","$3,860.00","$1,140.50",$671.71,,,,,,,,,,,,"$66,224.59",49
Expired - Odys,$620.00,Feb 2022 or earlier,g15tools.com,"Gaming, Tech",-,$132.50,$804.00,"$1,722.00","$1,165.00","$2,125.00","$2,105.00","$1,762.00","$2,165.00",$925.50,$538.00,$510.00,$335.00,$193.00,"$1,208.00",$120.00,$266.06,$495.00,$393.50,"$1,199.82",$387.80,$711.00,"$1,816.00","$2,375.00","$1,853.50","$1,639.50","$3,025.00","$1,591.00","$1,468.20","$1,338.20","$1,802.38","$1,661.00","$2,611.50","$1,587.50",$741.00,$746.50,"$1,163.53","$2,134.00","$1,073.25","$1,634.00","$1,519.50","$1,121.00","$1,193.00","$1,167.00","$2,328.00","$3,838.50","$2,253.00","$2,069.00",$921.00,,,,,,,,,,,,"$65,934.24",48
Expired - Odys,-,Jan 2022 or earlier,eyexcon.com,"Gaming, Tech",$70.00,$432.50,$185.00,$285.00,$610.00,"$1,129.00",$285.00,$431.00,$682.00,$823.00,$870.00,$305.00,$743.00,$310.00,$205.00,$139.63,$180.00,$264.00,$98.00,$65.00,$197.80,$340.00,$536.00,$591.00,"$1,080.00","$1,479.00",$458.00,"$1,180.00","$2,485.90","$2,040.90","$4,057.00","$2,714.50","$2,982.50","$2,708.50","$2,002.21","$2,913.50","$3,638.00","$3,462.53","$2,386.00","$1,160.00","$3,228.00","$1,404.00","$2,394.50","$1,106.00","$2,091.00","$2,302.50","$2,830.50","$4,557.50","$1,405.00",,,,,,,,,,,,"$67,844.47",49
Bought - Fiverr,"$1,000.00",Jan 2022 or earlier,the-art-world.com,Art,$420.00,$120.00,$305.00,$190.00,$210.00,$345.00,$145.00,$820.00,$360.00,$144.00,$495.00,$670.00,$265.00,$461.50,$725.00,$180.00,$0.00,$710.00,$806.00,"$1,099.40",$358.70,"$1,080.00",$877.00,"$1,669.00","$2,159.00","$1,549.00","$2,528.50","$5,925.00","$3,279.60","$3,805.93","$4,986.00","$3,894.00","$1,838.00","$2,356.86","$1,202.34","$1,766.00","$1,166.00","$1,504.00",$660.00,$873.00,$884.00,$940.00,$436.00,$965.00,$696.00,"$2,990.00",$890.00,$398.00,$170.00,,,,,,,,,,,,"$60,317.83",49
Expired - Odys,-,28/3/2024,greenheal.net,Holistic Wellness,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"$1,240.00","$1,855.00","$2,690.00","$3,876.00","$2,220.00","$1,582.00","$1,835.09","$1,678.40","$1,821.00","$2,917.00","$3,089.00","$3,811.00","$5,825.50","$5,413.00","$4,322.00","$3,456.67","$2,243.50","$3,102.00","$2,153.00","$3,534.00","$3,823.50","$1,939.50",,,,,,,,,,,,"$64,427.16",22
Expired - Vaibhav,$12.00,June 2022 or earlier,wavetechglobal.com,Tech,-,-,-,-,-,$50.00,$60.00,$30.00,$155.00,$522.00,$20.00,$120.00,$480.00,$909.00,$532.00,$262.84,$75.00,$365.00,$339.00,$943.80,$780.20,$903.00,"$1,352.50","$4,361.00","$1,599.00","$2,413.50","$2,169.50","$1,282.50","$1,125.00","$1,652.00","$2,314.38","$2,567.00","$1,335.00","$1,239.00",$871.00,$758.00,"$2,481.50","$3,361.32","$3,803.00","$1,964.00","$2,525.50","$2,769.00","$1,564.00","$1,791.50","$1,657.00","$2,760.50","$1,976.00","$2,654.00","$2,388.00",,,,,,,,,,,,"$63,281.54",44
Expired - Vaibhav,$12.00,Jan 2022 or earlier,alternativeway.net,"Gaming, Tech",$180.00,$420.00,$884.00,$950.00,$840.00,$805.00,$680.79,$660.00,$250.00,$693.00,$840.00,$760.00,$535.00,$40.00,$310.00,$80.00,$210.00,$392.50,$392.00,$370.00,$186.20,$131.00,$131.00,$390.00,$522.00,$561.00,$0.00,"$1,250.00","$1,716.90","$2,349.40","$3,246.88","$3,057.50","$1,405.00","$1,301.00","$2,502.00","$1,664.00","$3,159.00","$3,544.00","$4,407.50","$2,657.00","$2,557.00","$2,023.50","$2,081.00","$1,655.00",$923.00,"$2,108.00","$1,197.00","$2,302.00",$350.00,,,,,,,,,,,,"$59,670.17",49
Joel,$0.00,Jan 2022 or earlier,letwomenspeak.com,"Health, Fitness, Female",$180.00,$92.50,$75.00,$45.00,$200.00,$195.00,$559.00,$864.00,"$1,047.00",$757.00,$400.00,$989.00,$341.00,$917.00,$840.00,$575.00,$195.00,$810.00,"$1,212.00","$1,430.20","$1,900.80","$1,925.00","$3,030.00","$3,053.00","$3,451.00","$5,141.50","$5,402.00","$2,066.00",$511.00,$982.00,$938.50,$906.50,"$1,188.50","$1,256.00",$170.00,"$1,235.00",$483.00,"$1,152.00","$1,097.00",$907.00,"$1,654.50","$1,843.00","$1,106.00","$1,570.00","$1,170.00",$432.50,$342.00,"$1,175.50",$993.00,,,,,,,,,,,,"$58,806.00",49
Expired - Odys,"$5,000.00",8/7/2023,GFXMaker.com,"Design, Technology, Software",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"$1,423.50","$3,263.50","$2,649.00","$3,918.64","$3,137.00","$7,255.00","$4,690.00","$9,571.00","$3,669.00","$1,404.00","$1,304.00","$1,640.38","$1,340.00",$355.00,$484.00,$160.00,$690.00,"$1,057.00","$2,115.00","$1,056.00",$451.00,"$1,267.00",$797.50,$745.00,$864.00,$827.50,$208.00,$166.00,"$1,386.00",$154.00,,,,,,,,,,,,"$58,048.02",30
Expired - Odys,$360.00,May 2022 or earlier,jerseyexpress.net,"General, Entertainment",-,-,-,-,$150.00,$355.00,$220.00,$450.00,$686.00,$575.00,$676.00,$602.50,$550.00,$300.00,$291.94,$310.00,$130.00,$305.00,$399.25,$484.20,$382.30,"$1,028.00",$820.00,$559.00,"$1,633.00","$1,154.50","$1,121.50","$1,047.50","$2,916.10","$3,115.40","$2,230.00","$2,025.00","$2,318.07","$3,059.50","$2,300.50","$1,593.00","$2,318.00","$3,293.00","$2,624.00","$4,184.00","$2,583.00","$1,825.50",$986.00,"$1,839.50","$1,427.00","$1,093.50",$509.00,$998.00,$375.00,,,,,,,,,,,,"$57,843.76",45
Expired - Odys,$900.00,Jan 2022 or earlier,fromhungertohope.com,Food,"$1,325.00",$995.00,"$2,000.00","$2,650.00","$1,895.00","$2,350.00","$2,755.00","$3,395.00","$4,035.00","$4,493.00","$2,428.00","$2,126.00",$913.25,$867.75,"$2,155.00",$685.00,$692.50,"$1,250.00","$1,566.00","$1,203.00","$1,271.50","$1,184.50","$2,254.00","$2,983.00","$2,151.25","$3,521.50","$2,835.50",$55.00,$0.00,$10.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,"$56,045.75",49
Expired - Vaibhav,$12.00,19/4/2024,letsbuildup.org,"Family, Parenting",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$560.00,"$1,367.00","$1,411.00","$3,728.50","$4,609.00","$4,702.50","$3,340.00","$2,903.50","$5,196.50","$3,676.00","$3,725.00","$3,375.00","$3,649.75","$1,726.50","$1,761.00","$2,833.50","$2,899.50","$2,860.50","$3,002.25","$2,775.25",$923.50,,,,,,,,,,,,"$61,025.75",21
Expired - Odys,$370.00,15/5/2023,conversationswithbianca.com,"Mom Blog, Parenting, General",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$785.00,$908.50,"$1,875.50","$1,883.00","$1,244.00","$3,106.00","$1,480.00","$2,277.50","$2,493.50","$2,332.00","$2,497.00","$3,113.80","$2,628.00","$2,778.50","$2,803.00","$2,005.50","$1,547.00","$1,805.80","$1,815.50","$1,464.00","$1,995.00",$690.00,"$1,171.50","$2,036.50","$1,526.50","$1,303.50","$1,351.00","$1,360.50","$1,595.00","$1,116.00","$1,453.75","$1,224.00",,,,,,,,,,,,"$57,666.35",32
Expired - Vaibhav,$12.00,20/3/2024,pushyourdesign.com,Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$235.00,"$2,405.00","$5,554.20","$6,293.60","$4,542.50","$2,202.00","$2,018.00","$2,809.25","$2,097.50","$2,132.50","$3,149.00","$4,240.00","$2,537.50","$1,575.00","$2,125.00","$1,888.00","$1,525.00","$1,381.00","$1,616.25","$1,100.00","$2,722.50","$2,819.00","$1,172.50",,,,,,,,,,,,"$58,140.30",23
Bought - Darko,"$2,000.00",29/6/2023,mygardenandpatio.com,"Home, Garden",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$254.00,"$1,370.00","$1,070.00",$910.00,"$2,252.00","$1,472.50","$1,726.50","$1,622.50","$1,804.00","$2,616.00","$2,396.30","$1,628.00","$2,232.06","$2,033.50","$2,028.23","$1,215.00","$1,169.50","$1,529.50","$2,815.75","$1,479.00","$2,114.50","$1,879.50","$2,095.50","$2,275.50","$2,575.50","$1,935.00","$2,549.00","$1,857.00","$2,689.00","$2,324.25",$904.00,,,,,,,,,,,,"$56,823.09",31
Expired - Vaibhav,$12.00,19/4/2024,usefulideas.net,"Home, Health",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$60.00,"$1,425.00","$1,224.00","$1,891.00","$5,843.75","$5,338.00","$3,821.00","$2,750.50","$3,434.50","$6,411.75","$3,712.50","$1,851.00","$2,692.00","$1,999.00","$2,471.75","$1,951.70",$610.25,"$2,029.00","$1,350.25","$1,829.00","$3,418.50","$1,222.00",,,,,,,,,,,,"$57,336.45",22
Expired - Vaibhav,$12.00,25/7/2023,masterrealtysolutions.com,Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$225.00,$742.50,$460.00,$610.00,$730.00,$616.00,$726.00,"$1,241.00","$1,559.25","$2,780.00","$3,338.00","$3,323.00","$3,214.50","$2,909.50","$1,430.00",$720.50,$642.50,"$1,318.50","$1,661.50","$2,073.00","$3,211.50","$2,896.00","$3,481.72","$2,162.50","$1,512.00","$3,414.00","$2,037.72","$2,786.00","$3,143.00","$1,177.00",,,,,,,,,,,,"$56,142.19",30
Expired - Odys,"$4,500.00",Jan 2022 or earlier,notinthekitchenanymore.com,"Gaming, Tech",$15.00,$0.00,$120.00,$55.00,$15.00,$65.00,$240.00,$154.00,$20.00,$43.00,$304.50,$515.00,$464.50,"$1,234.50","$1,156.00",$64.00,$140.00,$775.00,$369.25,$270.00,$519.60,$365.00,$485.00,$470.00,$679.25,$483.00,"$1,022.00",$907.00,"$1,575.75","$2,368.50","$2,220.50","$1,482.25","$2,066.89","$2,487.00","$1,926.75","$1,058.00","$1,848.00","$2,411.00","$1,604.00","$2,679.50","$2,334.25","$1,976.00","$2,726.50","$2,069.50","$2,855.50","$1,943.50","$1,876.50","$1,610.50",$888.00,,,,,,,,,,,,"$52,958.99",49
Expired - Vaibhav,$12.00,19/4/2024,webtosociety.com,"AI, Tech",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$50.00,"$1,114.00",$583.00,"$1,294.38","$1,801.00","$3,029.50","$3,910.00","$3,272.00","$2,750.00","$3,827.41","$3,226.37","$3,232.93","$3,829.00","$2,947.69","$2,343.00","$1,742.50","$2,231.00","$2,527.00","$3,270.49","$3,115.50","$2,683.00","$1,431.50",,,,,,,,,,,,"$54,211.27",22
Expired - Odys,"$3,000.00",24/7/2023,livingpristine.com,Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$305.00,$625.00,$836.00,$315.00,$495.00,$691.50,$460.00,$100.00,$837.00,"$1,247.50","$1,293.00","$2,193.00","$1,925.50","$2,048.73","$1,821.00","$1,626.16","$1,904.00","$1,962.50","$2,060.00","$2,461.00","$2,703.00","$3,898.00","$3,417.00","$4,069.50","$1,899.50","$2,583.50","$2,612.50","$3,363.50","$2,633.50","$1,088.00",,,,,,,,,,,,"$53,474.89",30
Expired - Odys,$340.00,1/1/2023,nothing2hide.net,"Gaming,Tech",-,-,-,-,-,-,-,-,-,-,-,-,$30.00,$104.00,$505.00,$200.00,$30.00,$805.00,$623.50,$689.00,$312.00,$583.00,$663.50,"$1,282.00","$1,427.00","$1,424.00","$1,133.50","$4,800.00","$3,761.65","$3,490.50","$3,117.88","$3,222.75","$1,239.50",$245.00,$920.75,$415.00,"$2,011.25","$1,989.25","$2,524.00","$2,756.50","$1,588.50",$936.50,"$1,749.50","$1,289.00",$525.00,$560.50,$783.50,$849.00,$452.00,,,,,,,,,,,,"$49,039.03",37
Bought - Odys,"$30,000.00",5/13/2025,tomoson.com,Social Media,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$550.00,"$9,161.50","$9,599.50","$4,272.00","$4,879.50","$5,600.00","$8,513.00","$7,975.00","$8,889.00","$1,457.00",,,,,,,,,,,,"$60,896.50",10
Bought - Darko,"$4,000.00",15/6/2023,theboringmagazine.com,"News, Entertainment, Tech",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$60.00,$402.50,$247.50,$94.00,$55.00,$0.00,$42.00,$117.00,$70.00,$293.00,$230.00,$668.50,"$1,012.10","$1,615.00","$2,223.50","$1,339.00","$2,373.50",$976.50,"$1,234.00","$1,882.00","$1,565.00","$2,550.00","$1,949.50","$3,669.50","$3,307.00","$3,789.00","$3,708.50","$5,278.00","$3,782.00","$4,335.00","$4,437.50","$1,480.99",,,,,,,,,,,,"$54,787.09",32
